user_id,item_id
-404PageNotFound-,4000.0
-AnimeIsMyThing-,4000.0
-Encore-,105600.0
-JT,730.0
-KillZone-,10190.0
-Naughty-,730.0
-Uplink-,218620.0
-_skIzZ_-,730.0
-fastrvrs-,213120.0
-iBubble,204300.0
-xKyox-,230410.0
00000003010,105600.0
0000FF,230410.0
000Infinity000,291550.0
001002130882,730.0
001010001,113400.0
0041287,730.0
005577,107410.0
0071945,363970.0
007Pro,205790.0
007james_bond,730.0
007thesilence,72850.0
008port,304930.0
00nana,105600.0
010195345,205790.0
0102705195,209870.0
010607,730.0
011000100001000111,33930.0
01120477677,218230.0
0112937783,4000.0
0118999881999119,550.0
01398279857934,730.0
018302,4000.0
0212030,8930.0
0248359,34330.0
025652,72850.0
0271975108,550.0
0305089,215100.0
03375616256,4000.0
0402593613,20900.0
041112016,730.0
0412827540,252490.0
0421874858,4000.0
04536829290339393838,4000.0
0488456,550.0
05511301,4000.0
05zhehan,105600.0
066600,4000.0
0800135723,205790.0
0814551,730.0
0827777,209870.0
0833422708,205790.0
0862770364,271590.0
0898786879898,224540.0
08alross,730.0
092688110,205790.0
092982943,105600.0
0935659130,230410.0
098765432108642,4000.0
09895749373554,730.0
0996633,72850.0
0FI3MWAJS2849023N,4000.0
0fficiaIfIaw,730.0
0nlyb0nes,202990.0
0rangeZ3r0,230410.0
0x0B00B135,4000.0
0x426F,218230.0
1-800-Invisible,8930.0
1000000sdsd,730.0
100002077293140,205790.0
100011101011,331670.0
1000jaus,242050.0
100355,49520.0
101010102,220.0
1010102,4000.0
101013483181348,730.0
1010231464,550.0
1011010101101101010101,730.0
1011012001,206420.0
101316,8930.0
101676057,730.0
101thegreenguy,730.0
102547508,35450.0
1032165460,105600.0
1052218979baidu,550.0
10817,240.0
109284293753647,10190.0
10948278193,1250.0
109654,205790.0
109leonidas,230410.0
10gp,730.0
10outof10matee,33930.0
11010011011,730.0
1101167413,500.0
110321565469,730.0
111222333222111,4000.0
11123xxx3122,240.0
11141995,377160.0
111s,730.0
11345678,239660.0
11464789,271590.0
1163321,730.0
117007,730.0
117a2,42960.0
12021988,212070.0
12110604,730.0
12123871234989120,4000.0
1214551565454556,205790.0
121478,730.0
121598558,113400.0
122249_700b,72850.0
122799,212200.0
12312341244123,730.0
1231343263534243534,8930.0
1232999,105600.0
1233451231252123,730.0
1233zaazen,72850.0
12341008,730.0
1234321115,240.0
1234455565,550.0
12345123456,4000.0
1234567124567,49520.0
123456787654329,4000.0
1234567890qweccrtht,4000.0
1234567890qwertyuiop,224540.0
12345678910123,320.0
1234567898354127873,243870.0
123456789_Kappa,730.0
12345gh,42690.0
1234derpaa,730.0
12399017,4000.0
123abc321,209870.0
123abccba,730.0
123amazing123,4000.0
123curssin123,4000.0
123franz789,105600.0
123sharpshooter123,218230.0
1242163634531636,234710.0
12435674325tyughnb,105600.0
12435gg,4000.0
124653tf,202990.0
124681,550.0
1249012512908890112890,730.0
124c7937,304930.0
12524,10090.0
12549,4000.0
128463821947,10190.0
12874175635ELITE,320.0
128bitbit,730.0
1294120970512,105600.0
13012,4000.0
1313Lcf,72850.0
13199708,107410.0
132413244231,240.0
13272310,304930.0
13371337133713337,202990.0
133774553644535355354,200210.0
1337_Speak,72850.0
1337leetSloth,224540.0
1337mlg,730.0
1345adfg,230410.0
134679jc333,730.0
1373648137417,4000.0
137731251236671466147,49520.0
1398199813,304930.0
13omadragon,4000.0
13salva,211420.0
1408129010,301520.0
142331415,230410.0
