user_id,item_id,recommend,sentiment_analysis,rating,user_id_num
76561197970982479,1250,True,2,5,615
76561197970982479,22200,True,2,5,615
76561197970982479,43110,True,2,5,615
js41637,251610,True,2,5,21361
js41637,227300,True,2,5,21361
js41637,239030,True,2,5,21361
evcentric,248820,True,2,5,20047
evcentric,370360,True,2,5,20047
evcentric,237930,True,2,5,20047
evcentric,263360,True,1,3,20047
evcentric,107200,True,2,5,20047
evcentric,224500,True,2,5,20047
doctr,250320,True,2,5,19753
doctr,20920,True,2,5,19753
doctr,204100,True,2,5,19753
doctr,224600,True,2,5,19753
doctr,207610,True,0,1,19753
doctr,108710,True,2,5,19753
maplemage,211420,True,1,3,22116
maplemage,211820,True,2,5,22116
maplemage,730,True,2,5,22116
maplemage,204300,True,2,5,22116
Wackky,249130,True,1,3,17810
Wackky,207610,True,1,3,17810
Wackky,550,True,2,5,17810
Wackky,65800,True,2,5,17810
Wackky,220,True,2,5,17810
76561198079601835,730,True,1,3,8191
MeaTCompany,730,True,2,5,15344
76561198089393905,72850,True,0,1,9589
76561198089393905,440,True,1,3,9589
76561198156664158,252950,True,2,5,11699
76561198077246154,440,True,1,3,7788
76561198077246154,304930,True,1,3,7788
WeiEDKrSat,4000,True,1,3,17846
thequeenpanda,42910,True,1,3,24550
death-hunter,232090,True,2,5,19599
death-hunter,1250,True,2,5,19599
death-hunter,4000,True,2,5,19599
DJKamBer,304930,True,2,5,13046
DJKamBer,570,True,2,5,13046
DJKamBer,218620,True,2,5,13046
DJKamBer,224260,True,2,5,13046
DJKamBer,1250,True,0,1,13046
DJKamBer,440,True,2,5,13046
Rainbow-Dashie,730,True,2,5,16285
Rainbow-Dashie,440,True,2,5,16285
Rainbow-Dashie,49520,True,1,3,16285
76561198043472122,33440,False,1,2,2813
MarbleShrine,220200,True,2,5,15291
PPanther,211820,True,2,5,15948
devvonst,440,True,2,5,19666
devvonst,218740,True,2,5,19666
devvonst,550,True,2,5,19666
Fr0stedLine,220,True,2,5,13786
starkillershadow553,238090,True,0,1,24141
starkillershadow553,242130,True,0,1,24141
starkillershadow553,277430,True,2,5,24141
76561198058373434,8870,True,2,5,4618
76561198048353577,368230,True,0,1,3481
76561198048353577,4000,True,2,5,3481
76561198048353577,33930,True,2,5,3481
